Acquisitions Fund
Alfred Stieglitz Collection
Amelia B. Lazarus Fund
Anne and John V. Hansen Egyptian Purchase Fund
Anonymous Gift
Armor: Purchase, William H. Riggs Gift and Rogers Fund, 1919; mail brayette: Gift of Prince Albrecht Radziwill
Armor: Rogers Fund, 1915; buff coat: Bashford Dean Memorial Collection, Funds from various donors
Arthur Hoppock Hearn Fund
Arthur Hoppock Hearn Fund and funds from various donors
Backplate and rump: Gift of Bashford Dean, 1924; vambraces: Mrs. Stephen V. Harkness Fund, 1926; top lames of vambraces: Bashford Dean Memorial Collection, Funds from various donors
Barbara and John Robinson Fund and Marguerite and Frank A. Cosgrove Jr. Fund
Bashford Dean Memorial Collection, Gift of Edward S. Harkness
Bashford Dean Memorial Collection, Gift of Helen Fahnestock Hubbard, in memory of her father, Harris C. Fahnestock
Bequest of Abby Aldrich Rockefeller
Bequest of Alice K. Bache
Bequest of Alphonso T. Clearwater
Bequest of Annette W. W. Hicks-Lord
Bequest of Annie Bolton Matthews Bryant
Bequest of Arthur M. Bullowa
Bequest of Benjamin Altman
Bequest of Bill Blass
Bequest of Charlotte E. Hoadley
Bequest of Collis P. Huntington
Bequest of Cora Timken Burnett
Bequest of Cornelia Cruger
Bequest of Cornelius Vanderbilt
Bequest of Edith H. Proskauer
Bequest of Edward S. Harkness
Bequest of Florence Ellsworth Wilson
Bequest of Florene M. Schoenborn
Bequest of Florene M. Schoenborn, in honor of William S. Lieberman
Bequest of Francis T. Sully Darley
Bequest of George Blumenthal
Bequest of George C. Stone
Bequest of George Willett Van Nest
Bequest of Gertrude Stein
Bequest of Gula V. Hirschland
Bequest of Hamilton Fish
Bequest of Helen Hay Whitney
Bequest of Herbert L. Pratt
Bequest of Jacob Ruppert
Bequest of Jane Costello Goldberg, from the Collection of Arnold I. Goldberg
Bequest of Jane Kendall Gingrich
Bequest of John M. Crawford Jr.
Bequest of Joseph V. McMullan
Bequest of Kate Trubee Davison
Bequest of Lore Heinemann, in memory of her husband, Dr. Rudolf J. Heinemann
Bequest of Lydia Winston Malbin
Bequest of Margaret E. Dows
Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup
Bequest of Marianne Khuner
Bequest of Mary Clark Thompson
Bequest of Mary Stillman Harkness
Bequest of Miss Adelaide Milton de Groot (1876-1967)
Bequest of Miss Adelaide Milton de Groot (1876-1967), by exchange
Bequest of Miss Adelaide Milton de Groot (18761967)
Bequest of Molly Flagg Knudtsen
Bequest of Mrs. Harry Payne Bingham
Bequest of Richard De Wolfe Brixey
Bequest of Robert Louis Isaacson, in memory of Mr. and Mrs. R. Kirk Askew
Bequest of Sam A. Lewisohn
Bequest of Scofield Thayer
Bequest of Stephen C. Clark
Bequest of Susan W. Tyler
Bequest of W. Gedney Beatty
Bequest of Walter C. Baker
Bequest of William K. Vanderbilt
Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. John de Menil
Catharine Breyer Van Bomel Foundation Fund
Catharine Lorillard Wolfe Collection, Wolfe Fund
Charles Stewart Smith Collection, Gift of Mrs. Charles Stewart Smith, Charles Stewart Smith Jr., and Howard Caswell Smith, in memory of Charles Stewart Smith
Charlotte C. and John C. Weber Collection, Gift of Charlotte C. and John C. Weber
Cynthia Hazen Polsky and Leon B. Polsky Fund
Dale T. Johnson Fund
David Hunter McAlpin Fund
Denise and Andrew Saul Fund
Dodge Fund
Edith Perry Chapman Fund
Edith and Milton Lowenthal Collection, Bequest of Edith Abrahamson Lowenthal
Edward C. Moore Collection, Bequest of Edward C. Moore
Edward Elliott Family Collection, Gift of Douglas Dillon
European Sculpture and Decorative Arts Fund
Ex coll.: C. C. Wang Family, Gift of The Dillon Fund
Exchange Loan from the Government of
Fletcher Fund
Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell
Ford Motor Company Collection, Purchase, Joseph Pulitzer Bequest and The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel, and Gift of Ford Motor Company and John C. Waddell, by exchange
Frederick C. Hewitt Fund, 1911; Rogers Fund, 1921; Munsey Funds, 1936, 1938; and Anonymous Gift
Friends of the American Wing Fund
